Position,Station Number,Station Name,UniStopId,Latitude,Longitude
N/A,1,瑞湖街口,1149400220,25.067523,121.576485
N/A,2,麗寶大樓,1149100300,25.070424,121.58271
N/A,3,公館山,1149100000,25.071952,121.581177
N/A,4,瑞光路,1147400070,25.074746,121.5776
N/A,5,內湖運動中心,1144800300,25.07724,121.5755879
N/A,6,港墘派出所,1144800100,25.0787,121.57642
N/A,7,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
N/A,8,湖光國宅,1147500320,25.078356,121.5815972
N/A,9,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
N/A,10,內湖高中,1147500020,25.078703,121.5875658
N/A,11,方濟中學,1146000140,25.076435,121.5900771
N/A,12,將軍嶺,1147200240,25.073372,121.58972
N/A,13,三總內湖站,1149000100,25.071852,121.592095
N/A,14,國防醫學中心,1147200140,25.071037,121.5898699
N/A,15,內湖行政大樓,1146600160,25.06916,121.58832
N/A,16,三民國中,1146600060,25.06901,121.58556
N/A,17,時報廣場,1149401060,25.06856,121.5831298
N/A,18,民權大橋,1149400360,25.06702,121.5791
N/A,19,新益里,1059200140,25.062286,121.566155
N/A,20,民生國中,1059100040,25.059661,121.5679233
N/A,21,新東街口,1058900160,25.059272,121.5663967
N/A,22,三民路,1058200140,25.0575,121.5634
N/A,23,三民健康路口(西松高中),1058200040,25.055245,121.5635808
N/A,24,健康新城,1058600260,25.054217,121.5621625
N/A,25,長壽公園,1058600160,25.054069,121.559764
N/A,26,三軍總醫院松山分院,1056400060,25.053881,121.5578743
N/A,27,南京新村,1057900140,25.052778,121.5568095
N/A,28,博仁醫院,1056000040,25.04937,121.55774
N/A,29,光復路口,1055400060,25.048151,121.5567576
N/A,30,美仁里,1055400160,25.04821,121.553906
N/A,31,臺視,1055900061,25.048248,121.551437
N/A,32,市民敦化路口,1055700240,25.045271,121.548797
N/A,33,忠孝敦化路口,1069000140,25.041865,121.5487541
N/A,34,仁愛敦化路口,1068500140,25.039043,121.548697
N/A,35,信義敦化路口,1068100141,25.034123,121.5485022
N/A,36,信義大安路口,1068400060,25.033383,121.5461666
N/A,37,捷運大安站(信義),1068400260,25.033404,121.5438266
N/A,38,師大附中,1065800360,25.033382,121.542275
N/A,39,信義建國路口,1065800160,25.033595,121.538468
N/A,40,捷運大安森林公園站,1065600460,25.03355,121.5359159
N/A,41,信義新生路口,1065600360,25.033627,121.5331327
N/A,42,信義永康街口,1065100260,25.033765,121.5301447
N/A,43,捷運東門站,1005700060,25.034232,121.526986
N/A,44,信義杭州路口,1004800860,25.035417,121.5246296
N/A,45,中正紀念堂,1004800960,25.03739,121.52056
N/A,46,捷運台大醫院站,1004801100,25.041927,121.5163535
N/A,47,博物館(館前),1004700200,25.044177,121.5150573
N/A,48,臺北車站(忠孝),1004100720,25.046563,121.5156894
32分鐘,1,臺北車站(公園),1004700340,25.043929,121.516775
33分鐘,2,捷運台大醫院站,1004600040,25.041935,121.5161481
35分鐘,3,中正紀念堂,1004800920,25.037153,121.520771
36分鐘,4,信義杭州路口,1004800820,25.0357,121.5238361
39分鐘,5,捷運東門站,1064100120,25.034134,121.5269937
40分鐘,6,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
41分鐘,7,信義新生路口,1006100020,25.03353,121.5323283
42分鐘,8,捷運大安森林公園站,1065600420,25.033496,121.5356316
44分鐘,9,信義建國路口,1065800120,25.033441,121.539045
45分鐘,10,捷運大安站(信義),1065800420,25.033323,121.5432319
47分鐘,11,信義大安路口,1068300220,25.0332,121.5456
47分鐘,12,信義敦化路口,1068100120,25.033262,121.548298
48分鐘,13,仁愛國中,1068900100,25.035951,121.5490897
49分鐘,14,安和敦化路口,1068900400,25.039761,121.5489579
52分鐘,15,捷運忠孝敦化站,1069000200,25.043012,121.549174
53分鐘,16,市民大道口,1055700000,25.045757,121.5491941
55分鐘,17,臺視,1055900020,25.04807,121.5511
56分鐘,18,美仁里,1055400120,25.048,121.55415
58分鐘,19,榮民服務處,1056000100,25.048703,121.557946
61分鐘,20,南京新村,1057900100,25.052989,121.556952
進站中,21,三軍總醫院松山分院,1058600020,25.05367,121.55726
進站中,22,長壽公園,1058600120,25.05381,121.55985
3分鐘,23,健康新城,1058600220,25.053978,121.5626621
3分鐘,24,三民健康路口(西松高中),1058200000,25.054814,121.5638473
5分鐘,25,三民路,1058200100,25.05753,121.56368
8分鐘,26,新東街口,1058900120,25.05902,121.5664423
9分鐘,27,民生國中,1059400200,25.060189,121.5676949
10分鐘,28,新益里,1059200100,25.062445,121.566269
13分鐘,29,民權大橋,1149400320,25.066876,121.5794778
15分鐘,30,時報廣場,1149401020,25.068084,121.5821211
16分鐘,31,三民國中,1146600020,25.068803,121.5854057
17分鐘,32,內湖行政大樓,1146600120,25.068934,121.5889192
19分鐘,33,國防醫學中心,1147200100,25.07121,121.5900311
20分鐘,34,三總內湖站,1149000200,25.071852,121.592095
23分鐘,35,將軍嶺,1147200200,25.073809,121.5900167
24分鐘,36,方濟中學,1146200000,25.076884,121.5902313
26分鐘,37,內湖高中,1147500060,25.079013,121.5883097
26分鐘,38,捷運文德站(碧湖公園),1147500260,25.078585,121.584249
28分鐘,39,湖光國宅,1147300060,25.07859,121.58078
30分鐘,40,西湖圖書館(湖光教會),1144700061,25.07889,121.578499
32分鐘,41,港墘派出所,1144800240,25.078636,121.57619
34分鐘,42,瑞光路,1149100230,25.074821,121.577343
35分鐘,43,公館山,1149100040,25.071988,121.5809507
35分鐘,44,麗寶大樓,1149100340,25.070391,121.582671
38分鐘,45,瑞湖街口,1149400261,25.067659,121.576798
