公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
28分鐘,1,臺北車站(公園),1004700340,25.043929,121.516775
30分鐘,2,捷運台大醫院站,1004600040,25.041935,121.5161481
進站中,3,中正紀念堂,1004800920,25.037153,121.520771
進站中,4,信義杭州路口,1004800820,25.0357,121.5238361
3分鐘,5,捷運東門站,1064100120,25.034134,121.5269937
4分鐘,6,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
5分鐘,7,信義新生路口,1006100020,25.03353,121.5323283
7分鐘,8,捷運大安森林公園站,1065600420,25.033496,121.5356316
9分鐘,9,信義建國路口,1065800120,25.033441,121.539045
10分鐘,10,捷運大安站(信義),1065800420,25.033323,121.5432319
12分鐘,11,信義大安路口,1068300220,25.0332,121.5456
12分鐘,12,信義敦化路口,1068100120,25.033262,121.548298
14分鐘,13,仁愛國中,1068900100,25.035951,121.5490897
15分鐘,14,安和敦化路口,1068900400,25.039761,121.5489579
18分鐘,15,捷運忠孝敦化站,1069000200,25.043012,121.549174
20分鐘,16,市民大道口,1055700000,25.045757,121.5491941
22分鐘,17,臺視,1055900020,25.04807,121.5511
23分鐘,18,美仁里,1055400120,25.048,121.55415
24分鐘,19,榮民服務處,1056000100,25.048703,121.557946
28分鐘,20,南京新村,1057900100,25.052989,121.556952
29分鐘,21,三軍總醫院松山分院,1058600020,25.05367,121.55726
31分鐘,22,長壽公園,1058600120,25.05381,121.55985
32分鐘,23,健康新城,1058600220,25.053978,121.5626621
32分鐘,24,三民健康路口(西松高中),1058200000,25.054814,121.5638473
進站中,25,三民路,1058200100,25.05753,121.56368
5分鐘,26,新東街口,1058900120,25.05902,121.5664423
6分鐘,27,民生國中,1059400200,25.060189,121.5676949
7分鐘,28,新益里,1059200100,25.062445,121.566269
10分鐘,29,民權大橋,1149400320,25.066876,121.5794778
11分鐘,30,時報廣場,1149401020,25.068084,121.5821211
13分鐘,31,三民國中,1146600020,25.068803,121.5854057
14分鐘,32,內湖行政大樓,1146600120,25.068934,121.5889192
17分鐘,33,國防醫學中心,1147200100,25.07121,121.5900311
19分鐘,34,三總內湖站,1149000200,25.071852,121.592095
24分鐘,35,將軍嶺,1147200200,25.073809,121.5900167
25分鐘,36,方濟中學,1146200000,25.076884,121.5902313
27分鐘,37,內湖高中,1147500060,25.079013,121.5883097
28分鐘,38,捷運文德站(碧湖公園),1147500260,25.078585,121.584249
29分鐘,39,湖光國宅,1147300060,25.07859,121.58078
30分鐘,40,西湖圖書館(湖光教會),1144700061,25.07889,121.578499
32分鐘,41,港墘派出所,1144800240,25.078636,121.57619
36分鐘,42,瑞光路,1149100230,25.074821,121.577343
38分鐘,43,公館山,1149100040,25.071988,121.5809507
39分鐘,44,麗寶大樓,1149100340,25.070391,121.582671
42分鐘,45,瑞湖街口,1149400261,25.067659,121.576798
